Premise,Hypothesis,Label
a job as a skilled employee or resident,the customer is Good credit,entailment
and a registered telephone under their name,the customer is Good credit,entailment
The customer has a high checking account balance,the customer is Good credit,entailment
a high saving account balance,the customer is Good credit,entailment
long-term employment,the customer is Good credit,entailment
a low installment rate,the customer is Good credit,entailment
no other debtors,the customer is Good credit,entailment
a property in a building society savings agreement or life insurance,the customer is Good credit,entailment
an age above the bank's median,the customer is Good credit,entailment
no other installment plans,the customer is Good credit,entailment
owns their housing,the customer is Good credit,entailment
has a job as a skilled employee or resident,the customer is Good credit,entailment
has at least one person to provide maintenance,the customer is Good credit,entailment
"The customer has several red flags, including a low balance in their checking account",the customer is Bad credit,entailment
a long loan duration,the customer is Bad credit,entailment
a high loan amount,the customer is Bad credit,entailment
a low balance in their saving account,the customer is Bad credit,entailment
a relatively short employment tenure,the customer is Bad credit,entailment
and a non-skilled job,the customer is Bad credit,entailment
The customer has a high checking account balance,the customer is Good credit,entailment
a long-term salary assignment,the customer is Good credit,entailment
a short loan duration,the customer is Good credit,entailment
a high saving account balance,the customer is Good credit,entailment
long-term employment,the customer is Good credit,entailment
a low installment rate,the customer is Good credit,entailment
no other debtors,the customer is Good credit,entailment
a property of real estate,the customer is Good credit,entailment
an age above the bank's median,the customer is Good credit,entailment
no other installment plans,the customer is Good credit,entailment
owns their housing,the customer is Good credit,entailment
has a job as a skilled employee or resident,the customer is Good credit,entailment
has at least one person to provide maintenance,the customer is Good credit,entailment
"The customer's creditworthiness is classified as 'bad credit' due to the presence of several red flags, including a low balance in the checking account",the customer is Bad credit,entailment
and a low balance in the saving account,the customer is Bad credit,entailment
"The customer has several red flags, including a negative checking account balance",the customer is Bad credit,entailment
a low savings account balance,the customer is Bad credit,entailment
a relatively short employment tenure,the customer is Bad credit,entailment
and a non-registered telephone,the customer is Bad credit,entailment
"Additionally, the customer is a foreign worker, which may indicate financial instability",the customer is Bad credit,entailment
The customer has a high checking account balance,the customer is Good credit,entailment
a high savings account balance,the customer is Good credit,entailment
long-term employment,the customer is Good credit,entailment
no other debtors,the customer is Good credit,entailment
a property in a building society savings agreement or life insurance,the customer is Good credit,entailment
an age above the bank's median,the customer is Good credit,entailment
no other installment plans,the customer is Good credit,entailment
owns their housing,the customer is Good credit,entailment
has a job as a skilled employee or resident,the customer is Good credit,entailment
has at least one person to provide maintenance,the customer is Good credit,entailment
"The customer has several red flags, including a negative checking account balance",the customer is Bad credit,entailment
a loan duration longer than 50% of all cases in the bank,the customer is Bad credit,entailment
a loan amount higher than 50% of all cases in the bank,the customer is Bad credit,entailment
and a present employment duration shorter than 1 year,the customer is Bad credit,entailment
The customer has a high checking account balance,the customer is Good credit,entailment
a high saving account balance,the customer is Good credit,entailment
long-term present employment,the customer is Good credit,entailment
a low installment rate,the customer is Good credit,entailment
no other debtors,the customer is Good credit,entailment
a car as property,the customer is Good credit,entailment
no other installment plans,the customer is Good credit,entailment
own housing,the customer is Good credit,entailment
a skilled job,the customer is Good credit,entailment
The customer has a good creditworthiness due to having a high balance in their checking account,the customer is Good credit,entailment
a loan duration shorter than 50% of all cases in the bank,the customer is Good credit,entailment
a loan amount lower than 50% of all cases in the bank,the customer is Good credit,entailment
a stable employment history between 1-4 years,the customer is Good credit,entailment
no other debtors,the customer is Good credit,entailment
owning a car or other property,the customer is Good credit,entailment
being older than 50% of the bank's average age,the customer is Good credit,entailment
no other installment plans,the customer is Good credit,entailment
owning their own housing,the customer is Good credit,entailment
having a job as a skilled employee or resident,the customer is Good credit,entailment
having at least one person to provide maintenance,the customer is Good credit,entailment
and being registered for a telephone plan under their name.,the customer is Good credit,entailment
"The customer has several red flags, including a negative checking account balance",the customer is Bad credit,entailment
a loan amount higher than 50% of all cases in the bank,the customer is Bad credit,entailment
"and a telephone not registered under their name, which may indicate a lack of financial discipline and potential identity issues",the customer is Bad credit,entailment
"The customer's age is also older than 50% of all cases in the bank, which may indicate a longer credit history, but the combination of other negative attributes outweighs this factor.",the customer is Bad credit,entailment
"The customer has several red flags, including a negative checking account balance",the customer is Bad credit,entailment
a low savings account balance,the customer is Bad credit,entailment
a short employment tenure,the customer is Bad credit,entailment
and a non-registered telephone.,the customer is Bad credit,entailment
"The customer has several red flags, including a low balance in their checking account",the customer is Bad credit,entailment
The customer's negative checking account balance and high installment rate relative to disposable income are significant red flags,the customer is  bad credit,entailment
"Despite having a high savings account balance, long-term employment, and ownership of real estate, the negative checking account suggests financial mismanagement or potential liquidity issues",the customer is  bad credit,entailment
"The high installment rate indicates a heavy debt burden, which, combined with the negative balance, outweighs the positive attributes, leading to the conclusion of bad credit",the customer is  bad credit,entailment
a low savings account balance suggests limited financial reserves,the customer is  bad credit,entailment
a telephone not registered under their name could imply a lack of stable communication or official documentation,the customer is  bad credit,entailment
and being a foreign worker might affect their credit history's availability and reliability,the customer is  bad credit,entailment
"Despite having a high checking account balance, long-term employment, and ownership of real estate, the combination of these factors with the other negative attributes suggests a higher risk of default, leading to the assessment of 'bad credit'",the customer is  bad credit,entailment
The customer's negative checking account balance,the customer is  bad credit,entailment
high loan amount,the customer is  bad credit,entailment
and low savings account indicate financial instability,the customer is  bad credit,entailment
"Additionally, the fact that the customer is a foreign worker and does not have a registered telephone under their name may further complicate their creditworthiness",the customer is  bad credit,entailment
"Despite having a stable job and being older than the median age, the combination of these negative attributes outweighs the positive factors, leading to the conclusion of bad credit",the customer is  bad credit,entailment
"The customer's financial status indicates potential risk due to high loan amount and loan duration, which are above average in the bank, suggesting aggressive borrowing",the customer is  bad credit,entailment
"The employment duration is average, but the lack of property ownership and the status of being a foreign worker could complicate creditworthiness assessment",the customer is  bad credit,entailment
"The high loan amount and duration, combined with the absence of property and the foreign status, outweigh the positive attributes like high checking and saving balances, suggesting a higher risk of default",the customer is  bad credit,entailment
"The customer's profile indicates potential financial risk due to the presence of a foreign worker, which could imply less stable income or employment",the customer is  bad credit,entailment
"Additionally, the lack of telephone registration under the customer's name may suggest a lower level of financial transparency or integration into the local financial system, further complicating creditworthiness assessment",the customer is  bad credit,entailment
"The other attributes, such as high savings and stable employment, are positive, but the combination of these factors with the foreign worker status and lack of telephone registration leans towards a 'bad credit' classification",the customer is  bad credit,entailment
The customer exhibits several risk factors such as low balances in both checking and saving accounts,the customer is  bad credit,entailment
a loan duration and amount that are higher than average,the customer is  bad credit,entailment
a relatively short employment history,the customer is  bad credit,entailment
non-ownership of housing,the customer is  bad credit,entailment
non-skilled employment,the customer is  bad credit,entailment
liability for maintenance,the customer is  bad credit,entailment
and being a foreign worker,the customer is  bad credit,entailment
"Despite having a high balance checking account, a long-term employment, and substantial savings, the high loan amount relative to the bank's average, the foreign worker status, and the lack of telephone registration under the customer's name suggest a higher risk",the customer is  bad credit,entailment
"Additionally, the absence of other debtors and installment plans does not compensate for the high loan amount and potential communication issues, which could affect repayment reliability",the customer is  bad credit,entailment
The customer exhibits several risk factors such as low balances in both checking and saving accounts,the customer is  bad credit,entailment
a relatively short employment history,the customer is  bad credit,entailment
young age,the customer is  bad credit,entailment
and being a foreign worker,the customer is  bad credit,entailment
a negative checking account balance suggests financial mismanagement or potential overdrafts,the customer is  bad credit,entailment
a low savings account balance points to insufficient financial reserves,the customer is  bad credit,entailment
and being a younger than average age in the bank's demographic could correlate with less credit history,the customer is  bad credit,entailment
"Additionally, the absence of other debtors, a non-owned housing status, and a non-registered telephone further diminish the customer's creditworthiness",the customer is  bad credit,entailment
The employment status as a skilled employee or resident does not compensate for these negative indicators,the customer is  bad credit,entailment
"The customer's high loan amount and installment rate, combined with a foreign worker status and lack of telephone registration under their name, suggest a higher risk profile",the customer is  bad credit,entailment
"Despite having a high balance in checking and saving accounts, a long-term employment, and property ownership, the financial obligations appear to be substantial relative to their income, indicating potential difficulties in meeting repayment terms",the customer is  bad credit,entailment
The customer's negative checking account balance,the customer is  bad credit,entailment
short employment duration,the customer is  bad credit,entailment
young age,the customer is  bad credit,entailment
and lack of telephone registration under their name,the customer is  bad credit,entailment
"combined with being a foreign worker, indicate a higher risk profile and insufficient financial stability",the customer is  bad credit,entailment
"The customer's profile indicates several risk factors such as a high loan amount and loan duration that exceed the majority of cases, suggesting potential over-leveraging",the customer is  bad credit,entailment
"Additionally, being a foreign worker may imply additional scrutiny and potential challenges in credit assessment",the customer is  bad credit,entailment
The age being younger than 50% of all cases could also indicate less established credit history,the customer is  bad credit,entailment
"Despite having a high balance in checking and saving accounts, and stable employment, the combination of these attributes with the high loan characteristics and foreign status leans towards a 'bad credit' classification",the customer is  bad credit,entailment
a low savings account balance suggests insufficient financial reserves,the customer is  bad credit,entailment
a high installment rate relative to disposable income indicates potential over-indebtedness,the customer is  bad credit,entailment
"Additionally, being a foreign worker could introduce additional complexities in credit assessment",the customer is  bad credit,entailment
"The absence of other debtors and installment plans is positive, but the combination of these factors leads to the conclusion of 'bad credit'",the customer is  bad credit,entailment
The customer's negative checking account balance,the customer is  bad credit,entailment
high loan amount relative to others,the customer is  bad credit,entailment
and lack of property ownership,the customer is  bad credit,entailment
"combined with being a foreign worker and not having a registered telephone, suggest financial instability and a higher risk profile, outweighing the positive aspects of a high savings account balance and skilled employment",the customer is  bad credit,entailment
a negative checking account balance suggests financial mismanagement or potential overdrafts,the customer is  bad credit,entailment
a low savings account balance points to insufficient financial reserves,the customer is  bad credit,entailment
a short employment duration of less than a year raises concerns about job stability,the customer is  bad credit,entailment
not owning housing and having no other installment plans could limit the customer's financial obligations,the customer is  bad credit,entailment
and not having a telephone registered under their name could hinder communication and verification processes,the customer is  bad credit,entailment
The customer exhibits several risk factors such as low balances in checking and savings accounts,the customer is  bad credit,entailment
short employment duration,the customer is  bad credit,entailment
"and being a foreign worker, which collectively suggest a higher likelihood of financial instability and difficulty in meeting credit obligations, despite having a stable housing situation and being employed as a skilled worker",the customer is  bad credit,entailment
"The absence of other debtors and installment plans does not offset these concerns, and the lack of telephone registration could indicate a lack of verifiable contact information, further complicating creditworthiness assessment",the customer is  bad credit,entailment
a high balance in both checking and saving accounts,the customer is  good credit,entailment
a stable employment history of 1 to 4 years,the customer is  good credit,entailment
a low installment rate relative to income,the customer is  good credit,entailment
no other debtors,the customer is  good credit,entailment
ownership of property,the customer is  good credit,entailment
